NO_EOR,NOCONTAINER,MATERIAL,QTY
EOR/00000002/01/2023,SPNU2792334,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000002/01/2023,SPNU2792334,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000002/01/2023,SPNU2792334,GASKET - GASKET SEALING 15 CM,1.0
EOR/00000002/01/2023,SPNU2792334,FLOORING - LEASING PLYWOOD SECTION 60X120 CM,1.0
EOR/00000002/01/2023,SPNU2792334,PANEL - WELD 15 CM,5.0
EOR/00000002/01/2023,SPNU2792334,DOOR SILL - STRAIGHTEN 30 CM,1.0
EOR/00000002/01/2023,SPNU2792334,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000002/01/2023,SPNU2792334,DOOR HARDWARE - LOCKING BAR HANDLE STRAIGHTEN,2.0
EOR/00000002/01/2023,SPNU2792334,PANEL - WELD 15 CM,3.0
EOR/00000002/01/2023,SPNU2792334,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,1.0
EOR/00000004/01/2023,SPNU2839051,FLOORING - PLYWOOD SECTION 120X150 CM,1.0
EOR/00000004/01/2023,SPNU2839051,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000004/01/2023,SPNU2839051,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000004/01/2023,SPNU2839051,CROSS MEMBER - INSERT 30 CM,1.0
EOR/00000004/01/2023,SPNU2839051,FORKLIFT POCKET - WEB STRAIGHTEN,2.0
EOR/00000007/01/2023,SPNU2104880,CROSS MEMBER - STRAIGHTEN,5.0
EOR/00000007/01/2023,SPNU2104880,"FLOORING - PLYWOOD / PLANK, REMOVE ASPAL, 20 FEET 10%",1.0
EOR/00000007/01/2023,SPNU2104880,PANEL - STRAIGHTEN 30X60 CM,1.0
EOR/00000007/01/2023,SPNU2104880,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000007/01/2023,SPNU2104880,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000007/01/2023,SPNU2104880,CORNER CASTING - REPLACE,1.0
EOR/00000007/01/2023,SPNU2104880,DOOR HARDWARE - HANDLE CATCH REPLACE,1.0
EOR/00000007/01/2023,SPNU2104880,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000007/01/2023,SPNU2104880,DOOR SILL - INSERT 15 CM,1.0
EOR/00000007/01/2023,SPNU2104880,DOOR HARDWARE - LOCKING BAR KEEPER STRAIGHTEN,1.0
